path,loc,cc
src\transformers\models\code_llama\tokenization_code_llama.py,239,71
src\transformers\activations.py,203,71
src\transformers\models\myt5\tokenization_myt5.py,201,71
tests\models\omdet_turbo\test_modeling_omdet_turbo.py,685,70
tests\models\aimv2\test_modeling_aimv2.py,436,70
tests\quantization\quanto_integration\test_quanto.py,321,70
src\transformers\models\seggpt\image_processing_seggpt.py,296,70
src\transformers\models\colqwen2\modular_colqwen2.py,247,70
src\transformers\quantizers\quantizer_bnb_4bit.py,237,70
src\transformers\models\prompt_depth_anything\modular_prompt_depth_anything.py,211,70
utils\check_inits.py,191,70
src\transformers\models\cohere\modeling_cohere.py,359,69
src\transformers\models\flaubert\tokenization_flaubert.py,324,69
src\transformers\models\ovis2\modular_ovis2.py,314,69
src\transformers\modeling_flash_attention_utils.py,305,69
src\transformers\models\gemma\modular_gemma.py,272,69
src\transformers\models\led\tokenization_led.py,232,69
src\transformers\pipelines\text2text_generation.py,182,69
tests\models\luke\test_modeling_luke.py,817,68
tests\models\llama\test_tokenization_llama.py,691,68
tests\models\bigbird_pegasus\test_modeling_bigbird_pegasus.py,624,68
tests\models\wav2vec2\test_tokenization_wav2vec2.py,566,68
examples\pytorch\semantic-segmentation\run_semantic_segmentation_no_trainer.py,494,68
tests\models\bridgetower\test_modeling_bridgetower.py,490,68
tests\models\pegasus\test_modeling_pegasus.py,477,68
tests\models\sew\test_modeling_sew.py,380,68
tests\test_video_processing_common.py,352,68
src\transformers\models\deepseek_v2\modular_deepseek_v2.py,337,68
src\transformers\onnx\convert.py,287,68
src\transformers\models\deepseek_vl_hybrid\image_processing_deepseek_vl_hybrid.py,270,68
src\transformers\models\esm\openfold_utils\chunk_utils.py,261,68
utils\deprecate_models.py,237,68
tests\models\xlnet\test_modeling_xlnet.py,594,67
tests\models\clvp\test_modeling_clvp.py,454,67
src\transformers\models\dpt\image_processing_dpt.py,406,67
tests\models\sew_d\test_modeling_sew_d.py,395,67
tests\models\wavlm\test_modeling_wavlm.py,395,67
src\transformers\models\seed_oss\modeling_seed_oss.py,359,67
src\transformers\models\arcee\modeling_arcee.py,355,67
src\transformers\models\llama\modeling_llama.py,355,67
src\transformers\models\deepseek_vl_hybrid\modeling_deepseek_vl_hybrid.py,343,67
examples\pytorch\text-generation\run_generation.py,320,67
src\transformers\models\flava\configuration_flava.py,302,67
src\transformers\models\wav2vec2_phoneme\tokenization_wav2vec2_phoneme.py,300,67
src\transformers\models\qwen2_vl\image_processing_qwen2_vl.py,299,67
src\transformers\models\got_ocr2\modular_got_ocr2.py,290,67
src\transformers\models\nougat\image_processing_nougat.py,284,67
src\transformers\modeling_attn_mask_utils.py,222,67
src\transformers\models\sam\processing_sam.py,202,67
tests\models\fsmt\test_modeling_fsmt.py,492,66
tests\models\bert_japanese\test_tokenization_bert_japanese.py,366,66
src\transformers\models\falcon_mamba\modular_falcon_mamba.py,364,66
src\transformers\models\glm4\modeling_glm4.py,358,66
src\transformers\models\glm\modeling_glm.py,353,66
src\transformers\models\helium\modeling_helium.py,348,66
src\transformers\generation\continuous_batching\cache.py,317,66
src\transformers\models\fsmt\tokenization_fsmt.py,289,66
src\transformers\models\got_ocr2\image_processing_got_ocr2.py,264,66
src\transformers\models\gpt_neox_japanese\tokenization_gpt_neox_japanese.py,244,66
examples\legacy\seq2seq\old_test_datasets.py,202,66
src\transformers\models\data2vec\modular_data2vec_audio.py,181,66
tests\models\big_bird\test_modeling_big_bird.py,777,65
tests\models\diffllama\test_modeling_diffllama.py,663,65
examples\pytorch\speech-recognition\run_speech_recognition_ctc_adapter.py,594,65
tests\models\udop\test_modeling_udop.py,532,65
tests\models\funnel\test_modeling_funnel.py,438,65
src\transformers\models\apertus\modeling_apertus.py,339,65
src\transformers\models\starcoder2\modeling_starcoder2.py,338,65
tests\models\xcodec\test_modeling_xcodec.py,336,65
src\transformers\models\superglue\image_processing_superglue.py,261,65
src\transformers\models\efficientloftr\image_processing_efficientloftr.py,249,65
src\transformers\models\voxtral\processing_voxtral.py,237,65
src\transformers\models\codegen\tokenization_codegen.py,224,65
src\transformers\models\ernie4_5_moe\modular_ernie4_5_moe.py,217,65
src\transformers\models\mllama\processing_mllama.py,166,65
tests\models\dac\test_modeling_dac.py,744,64
tests\models\oneformer\test_image_processing_oneformer.py,352,64
src\transformers\models\olmo2\modeling_olmo2.py,342,64
src\transformers\models\bitnet\modeling_bitnet.py,339,64
src\transformers\models\olmo\modeling_olmo.py,338,64
src\transformers\models\ernie4_5\modeling_ernie4_5.py,330,64
tests\models\speecht5\test_feature_extraction_speecht5.py,302,64
src\transformers\models\mixtral\modular_mixtral.py,288,64
src\transformers\models\donut\image_processing_donut.py,251,64
src\transformers\models\csm\generation_csm.py,236,64
src\transformers\models\marian\tokenization_marian.py,214,64
src\transformers\models\llama\tokenization_llama.py,202,64
tests\models\deformable_detr\test_modeling_deformable_detr.py,589,63
tests\models\pop2piano\test_modeling_pop2piano.py,575,63
tests\models\maskformer\test_modeling_maskformer.py,563,63
tests\models\oneformer\test_modeling_oneformer.py,491,63
examples\pytorch\speech-recognition\run_speech_recognition_seq2seq.py,487,63
tests\models\conditional_detr\test_modeling_conditional_detr.py,464,63
examples\pytorch\image-pretraining\run_mim.py,359,63
tests\quantization\gptq\test_gptq.py,318,63
src\transformers\models\dinov3_vit\modular_dinov3_vit.py,279,63
tests\models\imagegpt\test_image_processing_imagegpt.py,270,63
src\transformers\models\deepseek_v3\modular_deepseek_v3.py,268,63
tests\models\aria\test_image_processing_aria.py,227,63
src\transformers\trainer_seq2seq.py,205,63
src\transformers\models\layoutlmv3\image_processing_layoutlmv3.py,204,63
src\transformers\models\hubert\modular_hubert.py,192,63
tests\models\blenderbot_small\test_modeling_blenderbot_small.py,443,62
src\transformers\models\rt_detr_v2\modular_rt_detr_v2.py,365,62
src\transformers\models\glm4v\image_processing_glm4v.py,268,62
src\transformers\models\clvp\tokenization_clvp.py,207,62
src\transformers\models\roberta\tokenization_roberta.py,205,62
src\transformers\models\longformer\tokenization_longformer.py,202,62
src\transformers\models\mvp\tokenization_mvp.py,198,62
src\transformers\models\bart\tokenization_bart.py,196,62
src\transformers\generation\streamers.py,115,62
tests\models\lxmert\test_modeling_lxmert.py,684,61
src\transformers\models\aimv2\modular_aimv2.py,398,61
tests\models\kosmos2_5\test_image_processing_kosmos2_5.py,308,61
src\transformers\models\bridgetower\image_processing_bridgetower.py,291,61
src\transformers\integrations\awq.py,290,61
src\transformers\models\exaone4\modular_exaone4.py,289,61
src\transformers\image_processing_base.py,259,61
src\transformers\models\llava\image_processing_llava.py,245,61
src\transformers\models\phi\modular_phi.py,237,61
src\transformers\models\deepseek_vl\image_processing_deepseek_vl.py,222,61
src\transformers\quantizers\quantizer_fbgemm_fp8.py,217,61
utils\get_ci_error_statistics.py,207,61
src\transformers\models\sam2\configuration_sam2.py,206,61
src\transformers\quantizers\quantizer_bnb_8bit.py,201,61
src\transformers\utils\logging.py,181,61
tests\models\d_fine\test_modeling_d_fine.py,611,60
tests\models\bamba\test_modeling_bamba.py,495,60
tests\models\table_transformer\test_modeling_table_transformer.py,438,60
tests\utils\test_hf_argparser.py,353,60
src\transformers\models\llava\modeling_llava.py,325,60
examples\pytorch\instance-segmentation\run_instance_segmentation.py,313,60
src\transformers\models\metaclip_2\modular_metaclip_2.py,288,60
src\transformers\models\gemma3n\configuration_gemma3n.py,276,60
src\transformers\models\fuyu\modeling_fuyu.py,269,60
src\transformers\models\csm\processing_csm.py,215,60
src\transformers\models\blenderbot\tokenization_blenderbot.py,200,60
src\transformers\models\hunyuan_v1_moe\modular_hunyuan_v1_moe.py,191,60
src\transformers\models\deberta\tokenization_deberta.py,189,60
src\transformers\quantizers\base.py,175,60
src\transformers\models\deepseek_vl\modular_deepseek_vl.py,168,60
tests\models\qwen3_omni_moe\test_modeling_qwen3_omni_moe.py,721,59
examples\pytorch\speech-recognition\run_speech_recognition_ctc.py,602,59
tests\models\idefics2\test_modeling_idefics2.py,491,59
tests\models\t5\test_tokenization_t5.py,491,59
tests\models\opt\test_modeling_opt.py,453,59
tests\models\janus\test_modeling_janus.py,423,59
src\transformers\models\siglip2\modular_siglip2.py,294,59
src\transformers\models\prompt_depth_anything\image_processing_prompt_depth_anything.py,266,59
src\transformers\models\blt\configuration_blt.py,249,59
src\transformers\models\speecht5\feature_extraction_speecht5.py,232,59
src\transformers\quantizers\quantizer_hqq.py,186,59
src\transformers\models\paligemma\processing_paligemma.py,171,59
src\transformers\models\dinov3_convnext\modeling_dinov3_convnext.py,150,59
utils\custom_init_isort.py,146,59
tests\generation\test_logits_process.py,905,58
tests\models\bert\test_modeling_bert.py,646,58
tests\models\rt_detr\test_modeling_rt_detr.py,597,58
tests\models\rt_detr_v2\test_modeling_rt_detr_v2.py,591,58
tests\models\led\test_modeling_led.py,462,58
tests\models\mask2former\test_modeling_mask2former.py,456,58
tests\models\blenderbot\test_modeling_blenderbot.py,432,58
src\transformers\integrations\mxfp4.py,373,58
benchmark_v2\run_benchmarks.py,319,58
src\transformers\models\unispeech_sat\modular_unispeech_sat.py,285,58
src\transformers\models\unispeech\modular_unispeech.py,281,58
src\transformers\models\rt_detr\modular_rt_detr.py,271,58
src\transformers\integrations\bitnet.py,257,58
src\transformers\models\plbart\tokenization_plbart.py,231,58
src\transformers\models\code_llama\tokenization_code_llama_fast.py,211,58
src\transformers\utils\attention_visualizer.py,195,58
src\transformers\models\poolformer\image_processing_poolformer.py,186,58
examples\quantization\custom_quantization_int8_example.py,180,58
tests\models\fastspeech2_conformer\test_modeling_fastspeech2_conformer.py,604,57
tests\models\seamless_m4t\test_tokenization_seamless_m4t.py,511,57
tests\models\gpt_bigcode\test_modeling_gpt_bigcode.py,451,57
tests\models\git\test_modeling_git.py,435,57
src\transformers\models\eomt\image_processing_eomt_fast.py,371,57
src\transformers\models\flava\image_processing_flava_fast.py,354,57
src\transformers\models\aya_vision\modeling_aya_vision.py,343,57
src\transformers\models\dia\generation_dia.py,329,57
src\transformers\models\perception_lm\modeling_perception_lm.py,316,57
src\transformers\models\diffllama\modular_diffllama.py,312,57
src\transformers\models\auto\processing_auto.py,296,57
src\transformers\models\tvp\image_processing_tvp.py,277,57
src\transformers\models\vilt\image_processing_vilt.py,268,57
src\transformers\models\deprecated\tvlt\image_processing_tvlt.py,256,57
src\transformers\optimization_tf.py,215,57
src\transformers\models\deprecated\jukebox\tokenization_jukebox.py,208,57
src\transformers\models\granite\modular_granite.py,193,57
src\transformers\models\clvp\number_normalizer.py,163,57
src\transformers\pipelines\zero_shot_classification.py,156,57
src\transformers\commands\add_fast_image_processor.py,367,56
src\transformers\models\instructblipvideo\modular_instructblipvideo.py,357,56
tests\models\deit\test_modeling_deit.py,351,56
examples\legacy\pytorch-lightning\lightning_base.py,333,56
src\transformers\models\mobilenet_v2\image_processing_mobilenet_v2.py,317,56
src\transformers\models\beit\image_processing_beit.py,312,56
tests\models\qwen2_vl\test_image_processing_qwen2_vl.py,311,56
src\transformers\models\aria\image_processing_aria.py,261,56
src\transformers\models\pixtral\image_processing_pixtral.py,247,56
examples\legacy\token-classification\utils_ner.py,243,56
src\transformers\models\mistral3\modular_mistral3.py,229,56
src\transformers\models\efficientloftr\image_processing_efficientloftr_fast.py,198,56
src\transformers\models\gpt2\tokenization_gpt2.py,190,56
src\transformers\models\auto\modeling_auto.py,2132,55
tests\generation\test_configuration_utils.py,561,55
tests\models\smolvlm\test_modeling_smolvlm.py,483,55
tests\models\hiera\test_modeling_hiera.py,474,55
tests\models\moonshine\test_modeling_moonshine.py,437,55
tests\models\beit\test_modeling_beit.py,418,55
tests\models\whisper\test_processing_whisper.py,345,55
tests\models\superglue\test_image_processing_superglue.py,298,55
src\transformers\models\vipllava\modeling_vipllava.py,297,55
tests\models\vitmatte\test_image_processing_vitmatte.py,259,55
src\transformers\models\olmo3\modular_olmo3.py,242,55
src\transformers\models\gemma3\image_processing_gemma3.py,232,55
src\transformers\models\m2m_100\tokenization_m2m_100.py,211,55
src\transformers\modeling_layers.py,203,55
src\transformers\quantizers\quantizer_finegrained_fp8.py,172,55
tests\models\bloom\test_modeling_bloom.py,610,54
tests\models\speech_encoder_decoder\test_modeling_speech_encoder_decoder.py,541,54
tests\models\auto\test_processor_auto.py,367,54
examples\pytorch\image-pretraining\run_mae.py,300,54
src\transformers\models\dinov2_with_registers\modular_dinov2_with_registers.py,223,54
src\transformers\models\omdet_turbo\processing_omdet_turbo.py,221,54
src\transformers\models\groupvit\configuration_groupvit.py,204,54
src\transformers\models\esm\openfold_utils\protein.py,202,54
src\transformers\models\superpoint\image_processing_superpoint.py,176,54
tests\models\qwen2_5_omni\test_modeling_qwen2_5_omni.py,692,53
.circleci\create_circleci_config.py,330,53
tests\models\levit\test_modeling_levit.py,318,53
src\transformers\models\perception_lm\modular_perception_lm.py,283,53
tests\models\univnet\test_feature_extraction_univnet.py,266,53
src\transformers\quantizers\auto.py,255,53
tests\models\speech_to_text\test_feature_extraction_speech_to_text.py,255,53
src\transformers\models\smolvlm\video_processing_smolvlm.py,214,53
utils\add_dates.py,198,53
src\transformers\models\colqwen2\processing_colqwen2.py,184,53
src\transformers\models\owlvit\processing_owlvit.py,156,53
src\transformers\pipelines\text_classification.py,137,53
tests\models\jamba\test_modeling_jamba.py,504,52
tests\models\code_llama\test_tokenization_code_llama.py,500,52
tests\models\fnet\test_modeling_fnet.py,409,52
src\transformers\models\vision_text_dual_encoder\modeling_flax_vision_text_dual_encoder.py,404,52
tests\models\swinv2\test_modeling_swinv2.py,396,52
src\transformers\models\lfm2_vl\image_processing_lfm2_vl_fast.py,394,52
src\transformers\models\vision_text_dual_encoder\modeling_tf_vision_text_dual_encoder.py,372,52
tests\quantization\mxfp4\test_mxfp4.py,346,52
tests\models\moshi\test_tokenization_moshi.py,322,52
src\transformers\models\mobilevit\image_processing_mobilevit.py,309,52
src\transformers\models\dia\processing_dia.py,307,52
utils\models_to_deprecate.py,258,52
src\transformers\models\univnet\feature_extraction_univnet.py,208,52
src\transformers\models\qwen2\tokenization_qwen2.py,205,52
src\transformers\models\qwen3_vl\processing_qwen3_vl.py,190,52
src\transformers\models\xlnet\tokenization_xlnet.py,189,52
src\transformers\models\chinese_clip\configuration_chinese_clip.py,185,52
src\transformers\models\clip\configuration_clip.py,182,52
examples\legacy\seq2seq\seq2seq_trainer.py,170,52
tests\trainer\test_trainer_distributed.py,145,52
src\transformers\models\esm\openfold_utils\residue_constants.py,752,51
tests\models\longformer\test_modeling_longformer.py,649,51
tests\models\xmod\test_modeling_xmod.py,544,51
tests\models\splinter\test_modeling_splinter.py,420,51
examples\pytorch\image-classification\run_image_classification.py,339,51
tests\models\vits\test_modeling_vits.py,332,51
examples\pytorch\multiple-choice\run_swag.py,330,51
utils\notification_service_doc_tests.py,277,51
tests\models\seamless_m4t\test_feature_extraction_seamless_m4t.py,241,51
src\transformers\models\vivit\image_processing_vivit.py,222,51
src\transformers\models\clap\feature_extraction_clap.py,198,51
src\transformers\models\biogpt\tokenization_biogpt.py,190,51
src\transformers\models\vitmatte\modeling_vitmatte.py,164,51
src\transformers\tf_utils.py,134,51
src\transformers\models\owlv2\processing_owlv2.py,131,51
examples\legacy\run_chinese_ref.py,105,51
tests\models\canine\test_modeling_canine.py,456,50
tests\models\time_series_transformer\test_modeling_time_series_transformer.py,443,50
tests\models\mpt\test_modeling_mpt.py,404,50
tests\models\gemma\test_tokenization_gemma.py,398,50
tests\models\swin\test_modeling_swin.py,384,50
tests\models\perception_lm\test_modeling_perception_lm.py,370,50
tests\quantization\autoawq\test_awq.py,346,50
examples\pytorch\semantic-segmentation\run_semantic_segmentation.py,326,50
examples\3D_parallel.py,293,50
tests\models\mllama\test_image_processing_mllama.py,286,50
src\transformers\models\segformer\image_processing_segformer.py,277,50
src\transformers\models\cohere2\modular_cohere2.py,263,50
tests\models\pixtral\test_image_processing_pixtral.py,208,50
src\transformers\models\idefics2\image_processing_idefics2_fast.py,195,50
src\transformers\models\textnet\image_processing_textnet.py,193,50
src\transformers\models\qwen2\modular_qwen2.py,187,50
src\transformers\models\efficientnet\image_processing_efficientnet.py,184,50
src\transformers\models\mbart50\tokenization_mbart50.py,183,50
src\transformers\models\cpmant\tokenization_cpmant.py,162,50
src\transformers\models\edgetam\modular_edgetam.py,160,50
src\transformers\models\idefics2\processing_idefics2.py,138,50
src\transformers\models\kyutai_speech_to_text\feature_extraction_kyutai_speech_to_text.py,128,50
tests\models\oneformer\test_processing_oneformer.py,602,49
tests\models\qwen2_5_vl\test_modeling_qwen2_5_vl.py,584,49
tests\models\zamba2\test_modeling_zamba2.py,505,49
tests\models\paligemma\test_modeling_paligemma.py,470,49
tests\models\auto\test_modeling_auto.py,441,49
tests\models\parakeet\test_modeling_parakeet.py,279,49
src\transformers\models\depth_pro\image_processing_depth_pro.py,197,49
src\transformers\models\clip\image_processing_clip.py,195,49
src\transformers\models\mbart\tokenization_mbart.py,188,49
src\transformers\models\phobert\tokenization_phobert.py,180,49
src\transformers\models\fnet\tokenization_fnet.py,169,49
src\transformers\models\gemma\tokenization_gemma.py,167,49
examples\legacy\token-classification\tasks.py,143,49
src\transformers\models\evolla\processing_evolla.py,140,49
src\transformers\debug_utils.py,132,49
src\transformers\time_series_utils.py,121,49
tests\models\nllb_moe\test_modeling_nllb_moe.py,448,48
tests\models\gptj\test_modeling_gptj.py,446,48
tests\models\gpt_neo\test_modeling_gpt_neo.py,433,48
tests\models\idefics3\test_modeling_idefics3.py,387,48
tests\models\convbert\test_modeling_convbert.py,383,48
src\transformers\integrations\finegrained_fp8.py,304,48
tests\models\nougat\test_image_processing_nougat.py,263,48
tests\models\byt5\test_tokenization_byt5.py,259,48
src\transformers\models\video_llava\image_processing_video_llava.py,234,48
src\transformers\models\nllb\tokenization_nllb.py,191,48
src\transformers\models\siglip\tokenization_siglip.py,189,48
src\transformers\models\whisper\feature_extraction_whisper.py,186,48
src\transformers\models\sam_hq\processing_samhq.py,179,48
src\transformers\models\chameleon\image_processing_chameleon.py,175,48
src\transformers\models\deprecated\efficientformer\image_processing_efficientformer.py,175,48
src\transformers\models\layoutlmv2\image_processing_layoutlmv2.py,162,48
src\transformers\models\encodec\feature_extraction_encodec.py,109,48
tests\pipelines\test_pipelines_image_segmentation.py,640,47
tests\models\roc_bert\test_modeling_roc_bert.py,629,47
tests\models\roformer\test_modeling_roformer.py,500,47
tests\models\mamba\test_modeling_mamba.py,382,47
tests\models\efficientloftr\test_modeling_efficientloftr.py,341,47
tests\models\layoutlmv3\test_modeling_layoutlmv3.py,340,47
tests\models\maskformer\test_modeling_maskformer_swin.py,324,47
src\transformers\models\qwen3_vl_moe\modular_qwen3_vl_moe.py,258,47
src\transformers\model_debugging_utils.py,243,47
src\transformers\models\mm_grounding_dino\modular_mm_grounding_dino.py,241,47
tests\models\phi4_multimodal\test_image_processing_phi4_multimodal.py,226,47
src\transformers\models\cohere\modular_cohere.py,219,47
src\transformers\models\perception_lm\image_processing_perception_lm_fast.py,199,47
src\transformers\models\videomae\image_processing_videomae.py,198,47
src\transformers\models\bert\tokenization_bert_tf.py,167,47
src\transformers\models\big_bird\tokenization_big_bird.py,161,47
tests\models\gemma3\test_modeling_gemma3.py,646,46
tests\models\ernie\test_modeling_ernie.py,485,46
tests\models\layoutlmv2\test_modeling_layoutlmv2.py,447,46
tests\models\falcon_mamba\test_modeling_falcon_mamba.py,424,46
tests\models\auto\test_tokenization_auto.py,389,46
tests\models\videomae\test_modeling_videomae.py,369,46
tests\models\gpt_neox\test_modeling_gpt_neox.py,365,46
tests\models\chameleon\test_modeling_chameleon.py,362,46
tests\models\whisper\test_feature_extraction_whisper.py,280,46
tests\models\pvt_v2\test_modeling_pvt_v2.py,274,46
tests\models\glm4v\test_video_processing_glm4v.py,267,46
tests\models\qwen3_vl\test_video_processing_qwen3_vl.py,264,46
src\transformers\models\deepseek_vl_hybrid\image_processing_deepseek_vl_hybrid_fast.py,235,46
src\transformers\models\deprecated\vit_hybrid\image_processing_vit_hybrid.py,189,46
src\transformers\models\bit\image_processing_bit.py,170,46
src\transformers\models\glm4v\processing_glm4v.py,162,46
src\transformers\models\levit\image_processing_levit.py,157,46
src\transformers\pipelines\audio_classification.py,146,46
tests\models\roberta\test_modeling_roberta.py,494,45
tests\models\yolos\test_image_processing_yolos.py,469,45
tests\models\csm\test_modeling_csm.py,466,45
utils\check_config_attributes.py,444,45
tests\models\xglm\test_modeling_xglm.py,357,45
examples\pytorch\object-detection\run_object_detection.py,353,45
src\transformers\modeling_outputs.py,340,45
tests\models\dpt\test_modeling_dpt.py,315,45
tests\models\superglue\test_modeling_superglue.py,315,45
tests\models\wav2vec2_phoneme\test_tokenization_wav2vec2_phoneme.py,284,45
examples\modular-transformers\modeling_super.py,260,45
src\transformers\models\owlv2\image_processing_owlv2_fast.py,230,45
src\transformers\pipelines\mask_generation.py,217,45
src\transformers\generation\watermarking.py,216,45
src\transformers\models\dpr\tokenization_dpr.py,209,45
src\transformers\models\dpr\tokenization_dpr_fast.py,208,45
src\transformers\models\llava_next_video\image_processing_llava_next_video.py,206,45
src\transformers\models\bark\processing_bark.py,191,45
src\transformers\models\qwen3_moe\modular_qwen3_moe.py,190,45
src\transformers\models\smolvlm\modular_smolvlm.py,189,45
src\transformers\models\smollm3\modular_smollm3.py,186,45
src\transformers\models\perceiver\image_processing_perceiver.py,180,45
src\transformers\models\siglip2\image_processing_siglip2.py,180,45
src\transformers\pytorch_utils.py,170,45
src\transformers\models\x_clip\configuration_x_clip.py,158,45
src\transformers\models\vitmatte\image_processing_vitmatte.py,155,45
src\transformers\models\musicgen_melody\feature_extraction_musicgen_melody.py,154,45
src\transformers\models\clipseg\configuration_clipseg.py,150,45
src\transformers\models\got_ocr2\processing_got_ocr2.py,144,45
src\transformers\models\altclip\configuration_altclip.py,140,45
src\transformers\models\metaclip_2\configuration_metaclip_2.py,135,45
src\transformers\pipelines\text_to_audio.py,134,45
src\transformers\pipelines\visual_question_answering.py,104,45
src\transformers\utils\dummy_flax_objects.py,61,45
tests\models\detr\test_image_processing_detr.py,597,44
tests\models\informer\test_modeling_informer.py,435,44
tests\models\flava\test_image_processing_flava.py,336,44
tests\models\focalnet\test_modeling_focalnet.py,332,44
tests\models\tvp\test_image_processing_tvp.py,300,44
tests\models\data2vec\test_modeling_data2vec_vision.py,279,44
tests\models\qwen3_next\test_modeling_qwen3_next.py,254,44
tests\models\gemma3n\test_feature_extraction_gemma3n.py,221,44
src\transformers\models\llava_onevision\image_processing_llava_onevision_fast.py,213,44
src\transformers\models\esm\configuration_esm.py,196,44
src\transformers\models\auto\video_processing_auto.py,185,44
src\transformers\models\vipllava\modular_vipllava.py,175,44
src\transformers\pipelines\fill_mask.py,166,44
src\transformers\models\cpm\tokenization_cpm.py,161,44
src\transformers\models\mistral\modular_mistral.py,159,44
src\transformers\models\albert\tokenization_albert.py,155,44
src\transformers\models\deprecated\mctct\feature_extraction_mctct.py,153,44
src\transformers\models\speecht5\processing_speecht5.py,83,44
tests\models\xlm_roberta_xl\test_modeling_xlm_roberta_xl.py,456,43
tests\models\seggpt\test_modeling_seggpt.py,363,43
tests\fsdp\test_fsdp.py,362,43
benchmark\benchmarks_entrypoint.py,352,43
src\transformers\models\lfm2_vl\modeling_lfm2_vl.py,307,43
src\transformers\models\deprecated\mmbt\modeling_mmbt.py,290,43
tests\models\colpali\test_modeling_colpali.py,259,43
src\transformers\models\phi4_multimodal\configuration_phi4_multimodal.py,224,43
tests\models\eomt\test_image_processing_eomt.py,220,43
tests\models\deepseek_vl_hybrid\test_image_processing_deepseek_vl_hybrid.py,201,43
src\transformers\models\speech_to_text\feature_extraction_speech_to_text.py,170,43
src\transformers\models\janus\image_processing_janus_fast.py,168,43
src\transformers\models\deprecated\transfo_xl\modeling_transfo_xl_utilities.py,155,43
src\transformers\models\pegasus\tokenization_pegasus.py,151,43
src\transformers\models\donut\processing_donut.py,138,43
src\transformers\models\hunyuan_v1_dense\modular_hunyuan_v1_dense.py,136,43
src\transformers\models\siglip\image_processing_siglip.py,128,43
src\transformers\quantizers\quantizer_awq.py,111,43
examples\pytorch\test_pytorch_examples.py,579,42
tests\models\qwen2_vl\test_modeling_qwen2_vl.py,478,42
tests\models\gpt2\test_modeling_gpt2.py,454,42
tests\models\lightglue\test_modeling_lightglue.py,451,42
tests\pipelines\test_pipelines_question_answering.py,444,42
tests\models\gpt_oss\test_modeling_gpt_oss.py,404,42
tests\models\glm4v_moe\test_modeling_glm4v_moe.py,398,42
tests\models\autoformer\test_modeling_autoformer.py,383,42
tests\models\mistral\test_modeling_mistral.py,369,42
tests\models\codegen\test_modeling_codegen.py,365,42
tests\models\longcat_flash\test_modeling_longcat_flash.py,353,42
examples\pytorch\audio-classification\run_audio_classification.py,325,42
tests\models\megatron_bert\test_modeling_megatron_bert.py,321,42
tests\models\timm_wrapper\test_modeling_timm_wrapper.py,311,42
tests\models\rwkv\test_modeling_rwkv.py,306,42
tests\models\evolla\test_modeling_evolla.py,298,42
tests\models\imagegpt\test_modeling_imagegpt.py,275,42
src\transformers\models\bart\configuration_bart.py,272,42
src\transformers\models\lfm2_vl\processing_lfm2_vl.py,176,42
src\transformers\models\mobilenet_v1\image_processing_mobilenet_v1.py,163,42
src\transformers\models\speech_to_text\tokenization_speech_to_text.py,163,42
src\transformers\models\chinese_clip\image_processing_chinese_clip.py,162,42
src\transformers\models\qwen2_5_vl\configuration_qwen2_5_vl.py,160,42
tests\test_configuration_common.py,157,42
src\transformers\models\imagegpt\image_processing_imagegpt.py,156,42
src\transformers\models\qwen2_vl\configuration_qwen2_vl.py,156,42
src\transformers\models\deprecated\speech_to_text_2\tokenization_speech_to_text_2.py,156,42
tests\models\pegasus\test_tokenization_pegasus.py,145,42
src\transformers\models\blip\image_processing_blip.py,144,42
src\transformers\models\gpt_sw3\tokenization_gpt_sw3.py,144,42
src\transformers\models\vit\image_processing_vit.py,143,42
src\transformers\models\bartpho\tokenization_bartpho.py,142,42
scripts\check_tokenizers.py,131,42
src\transformers\generation\continuous_batching\cache_manager.py,118,42
src\transformers\models\dia\feature_extraction_dia.py,87,42
tests\models\xlm\test_modeling_xlm.py,450,41
tests\models\roberta_prelayernorm\test_modeling_roberta_prelayernorm.py,443,41
tests\models\data2vec\test_modeling_data2vec_text.py,441,41
tests\models\electra\test_modeling_electra.py,425,41
tests\models\deepseek_v3\test_modeling_deepseek_v3.py,423,41
tests\models\falcon_h1\test_modeling_falcon_h1.py,365,41
tests\models\mobilebert\test_modeling_mobilebert.py,352,41
tests\models\siglip\test_tokenization_siglip.py,334,41
src\transformers\models\deprecated\jukebox\configuration_jukebox.py,324,41
tests\models\qwen2_audio\test_modeling_qwen2_audio.py,307,41
src\transformers\convert_graph_to_onnx.py,305,41
tests\models\vit_mae\test_modeling_vit_mae.py,302,41
tests\models\dpt\test_image_processing_dpt.py,275,41
src\transformers\models\cohere2_vision\modeling_cohere2_vision.py,270,41
tests\generation\test_continuous_batching.py,262,41
tests\models\pix2struct\test_image_processing_pix2struct.py,254,41
tests\generation\test_candidate_generator.py,248,41
src\transformers\models\qwen2_vl\video_processing_qwen2_vl.py,213,41
src\transformers\pipelines\audio_utils.py,186,41
src\transformers\models\starcoder2\modular_starcoder2.py,173,41
src\transformers\models\convnext\image_processing_convnext.py,172,41
src\transformers\models\poolformer\image_processing_poolformer_fast.py,159,41
examples\legacy\pytorch-lightning\run_glue.py,154,41
src\transformers\models\deit\image_processing_deit.py,151,41
examples\modular-transformers\image_processing_new_imgproc_model.py,145,41
src\transformers\models\qwen2_5_vl\processing_qwen2_5_vl.py,141,41
src\transformers\models\speecht5\number_normalizer.py,137,41
